StockCode,Description,ABC_Class,XYZ_Class,ABC_XYZ,Daily_Demand,Avg_Price,Annual_Demand,EOQ,Safety_Stock,Reorder_Point,Max_Stock,Holding_Cost,Product_Lifespan_Days,DeadStock_Score,DeadStock_Risk,Days_Since_Last_Sale,Num_Transactions,Total_Revenue
48138,DOORMAT UNION FLAG,A,Z,AZ,10.175496688741722,7.668266818700114,3714.056291390729,492.0,115.0,186.0,678.0,1.533653363740023,529,28.6,Low,0,874,40053.72
82494L,WOODEN FRAME ANTIQUE WHITE ,A,Z,AZ,23.788079470198674,2.8997430167597766,8682.649006622516,1224.0,46.0,213.0,1437.0,0.5799486033519553,738,17.3,Low,0,1773,39909.170000000006
20727,LUNCH BAG  BLACK SKULL.,A,Z,AZ,42.03973509933775,1.6399951100244499,15344.503311258277,2163.0,156.0,450.0,2613.0,0.32799902200489,738,27.7,Low,0,1997,39904.0
21915,RED  HARMONICA IN BOX ,A,Z,AZ,58.32615894039735,1.2519775280898877,21289.048013245032,2916.0,661.0,1069.0,3985.0,0.2503955056179776,733,34.4,Medium,1,884,39870.65
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,A,Z,AZ,22.97019867549669,3.192735562310031,8384.122516556292,1146.0,282.0,443.0,1589.0,0.6385471124620062,729,41.4,Medium,10,644,39822.34
21232,STRAWBERRY CERAMIC TRINKET BOX,A,Z,AZ,56.12417218543046,1.2356750941366326,20485.322847682117,2879.0,130.0,523.0,3402.0,0.24713501882732652,731,19.9,Low,8,1818,39682.67
22502,PICNIC BASKET WICKER 60 PIECES,A,Z,AZ,0.10099337748344371,649.5,36.86258278145696,5.0,182.0,183.0,188.0,129.9,1,28.6,Low,181,2,39619.5
21166,COOK WITH WINE METAL SIGN ,A,Z,AZ,32.5364238410596,1.977408906882591,11875.794701986755,1733.0,175.0,403.0,2136.0,0.39548178137651824,738,25.4,Low,0,1225,37029.340000000004
82482,WOODEN PICTURE FRAME WHITE FINISH,A,Z,AZ,25.899006622516556,2.564078947368421,9453.137417218542,1358.0,82.0,263.0,1621.0,0.5128157894736842,738,22.0,Low,0,1658,37011.1
20728,LUNCH BAG CARS BLUE,A,Z,AZ,38.58278145695364,1.6495274725274724,14082.71523178808,2066.0,165.0,435.0,2501.0,0.3299054945054945,737,28.4,Low,1,1797,36644.28
84078A,SET/4 WHITE RETRO STORAGE CUBES ,A,Z,AZ,1.6672185430463575,38.497008547008555,608.5347682119206,89.0,40.0,52.0,141.0,7.6994017094017115,733,46.8,Medium,5,234,36259.65
22629,SPACEBOY LUNCH BOX ,A,Z,AZ,33.561258278145694,1.9303753351206436,12249.859271523179,1781.0,195.0,430.0,2211.0,0.38607506702412875,527,25.2,Low,0,1108,36150.99
23284,DOORMAT KEEP CALM AND COME IN,A,Z,AZ,8.83774834437086,7.91196319018405,3225.778145695364,452.0,126.0,188.0,640.0,1.58239263803681,226,28.7,Low,0,648,35880.85
23298,SPOTTY BUNTING,A,Z,AZ,12.637417218543046,4.917840236686391,4612.657284768212,685.0,72.0,160.0,845.0,0.9835680473372783,219,23.4,Low,0,1003,35509.55
85066,CREAM SWEETHEART MINI CHEST,A,Z,AZ,4.880794701986755,12.656833740831297,1781.4900662251655,265.0,40.0,74.0,339.0,2.53136674816626,739,33.9,Medium,0,809,35264.729999999996
20713,JUMBO BAG OWLS,A,Z,AZ,32.223509933774835,1.967599569429494,11761.581125827815,1729.0,205.0,431.0,2160.0,0.39351991388589885,739,28.7,Low,0,920,35162.42
48194,DOORMAT HEARTS,A,Z,AZ,9.582781456953642,7.629965075669383,3497.715231788079,479.0,130.0,197.0,676.0,1.5259930151338768,738,35.4,Medium,0,857,35069.4
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Z,AZ,14.649006622516556,4.023521772345302,5346.887417218542,815.0,53.0,156.0,971.0,0.8047043544690604,738,20.8,Low,0,1298,34479.62
22960,JAM MAKING SET WITH JARS,A,Z,AZ,13.996688741721854,4.181095132743363,5108.7913907284765,782.0,72.0,170.0,952.0,0.8362190265486726,376,20.5,Low,0,903,33833.72
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,A,Z,AZ,20.456953642384107,2.9206344410876133,7466.788079470199,1131.0,227.0,370.0,1501.0,0.5841268882175227,698,30.5,Medium,0,985,33670.240000000005
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,A,Z,AZ,11.605960264900663,4.953637152777778,4236.175496688742,654.0,99.0,180.0,834.0,0.9907274305555556,361,28.8,Low,0,1146,33298.3
20726,LUNCH BAG WOODLAND,A,Z,AZ,34.629139072847686,1.6512445550715618,12639.635761589405,1956.0,172.0,414.0,2370.0,0.33024891101431236,738,28.8,Low,0,1585,33004.76
22197,SMALL POPCORN HOLDER,A,Z,AZ,71.11754966887418,0.8353918791312559,25957.905629139073,3942.0,751.0,1249.0,5191.0,0.16707837582625118,572,33.7,Medium,81,1039,32505.93
22699,ROSES REGENCY TEACUP AND SAUCER ,A,Z,AZ,19.766556291390728,2.915397567820393,7214.793046357616,1112.0,134.0,272.0,1384.0,0.5830795135640786,484,27.1,Low,0,1056,32470.65
20725,LUNCH BAG RED RETROSPOT,A,Z,AZ,33.59933774834437,1.656367771280052,12263.758278145695,1924.0,95.0,330.0,2254.0,0.3312735542560104,442,19.9,Low,0,1520,32137.5
84029E,RED WOOLLY HOTTIE WHITE HEART.,A,Z,AZ,15.329470198675496,3.784886128364389,5595.2566225165565,860.0,115.0,222.0,1082.0,0.7569772256728778,738,31.2,Medium,0,956,31876.47
20685,DOORMAT RED RETROSPOT,A,Z,AZ,7.956953642384106,7.739288537549407,2904.2880794701987,433.0,83.0,139.0,572.0,1.5478577075098814,442,28.8,Low,0,758,31864.2
21755,LOVE BUILDING BLOCK WORD,A,Z,AZ,8.885761589403973,5.9658432934926955,3243.30298013245,521.0,16.0,78.0,599.0,1.193168658698539,739,15.9,Low,0,1485,31590.41
48187,DOORMAT NEW ENGLAND,A,Z,AZ,8.519867549668874,7.720205479452055,3109.751655629139,449.0,136.0,196.0,645.0,1.5440410958904112,529,31.3,Medium,0,728,31461.34
22630,DOLLY GIRL LUNCH BOX,A,Z,AZ,28.70860927152318,1.9443280632411066,10478.64238410596,1642.0,212.0,413.0,2055.0,0.38886561264822134,525,27.8,Low,0,998,30921.64
22727,ALARM CLOCK BAKELIKE RED ,A,Z,AZ,14.092715231788079,3.7613965517241383,5143.841059602649,827.0,129.0,228.0,1055.0,0.7522793103448278,442,28.9,Low,0,1144,30703.09
85152,HAND OVER THE CHOCOLATE   SIGN ,A,Z,AZ,26.7317880794702,2.081425304878049,9757.102649006623,1531.0,130.0,317.0,1848.0,0.4162850609756098,738,25.1,Low,0,1300,30615.930000000004
82486,WOOD S/3 CABINET ANT WHITE FINISH,A,Y,AY,6.478476821192053,8.026528599605522,2364.6440397350993,384.0,16.0,61.0,445.0,1.6053057199211045,679,19.2,Low,59,1002,30363.75
22382,LUNCH BAG SPACEBOY DESIGN ,A,Z,AZ,31.18211920529801,1.6465396825396825,11381.473509933774,1859.0,73.0,291.0,2150.0,0.32930793650793655,675,20.1,Low,0,1874,30131.7
22385,JUMBO BAG SPACEBOY DESIGN,A,Z,AZ,27.124172185430464,1.979439918533605,9900.322847682119,1581.0,168.0,358.0,1939.0,0.395887983706721,678,25.6,Low,0,971,29810.15
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,Z,AZ,7.98841059602649,7.738181818181817,2915.769867549669,434.0,133.0,189.0,623.0,1.5476363636363635,529,37.2,Medium,0,572,29691.95
48185,DOORMAT FAIRY CAKE,A,Z,AZ,7.880794701986755,7.754893111638955,2876.4900662251657,431.0,255.0,310.0,741.0,1.550978622327791,529,43.0,Medium,0,420,29116.96
20712,JUMBO BAG WOODLAND ANIMALS,A,Z,AZ,26.008278145695364,1.9862594594594594,9493.021523178808,1546.0,152.0,334.0,1880.0,0.3972518918918919,737,27.8,Low,1,915,29105.5
15036,ASSORTED COLOURS SILK FAN,A,Z,AZ,67.87086092715232,0.7659527559055118,24772.8642384106,4021.0,677.0,1152.0,5173.0,0.15319055118110236,732,38.0,Medium,6,634,28766.32
47590B,PINK HAPPY BIRTHDAY BUNTING,A,Z,AZ,9.357615894039736,5.4121349693251535,3415.5298013245033,562.0,86.0,152.0,714.0,1.0824269938650308,731,35.7,Medium,1,810,28581.4
20679,EDWARDIAN PARASOL RED,A,Z,AZ,9.9817880794702,5.819614767255216,3643.352649006623,559.0,193.0,263.0,822.0,1.1639229534510434,737,42.0,Medium,0,622,28557.920000000002
20914,SET/5 RED SPOTTY LID GLASS BOWLS,A,Z,AZ,17.427152317880793,2.9024405506883606,6360.91059602649,1047.0,171.0,293.0,1340.0,0.5804881101376721,410,48.5,Medium,328,787,28513.300000000003
82483,WOOD 2 DRAWER CABINET WHITE FINISH,A,Z,AZ,7.903973509933775,6.194406779661017,2884.9503311258277,483.0,26.0,81.0,564.0,1.2388813559322036,738,19.3,Low,1,1053,27952.22
22379,RECYCLING BAG RETROSPOT ,A,Z,AZ,23.607615894039736,2.09366927592955,8616.779801324503,1435.0,194.0,359.0,1794.0,0.41873385518591005,683,29.2,Low,0,1013,27893.78
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,Z,AZ,9.51158940397351,4.975026086956522,3471.730132450331,591.0,31.0,98.0,689.0,0.9950052173913044,442,18.4,Low,0,1145,27595.33
22865,HAND WARMER OWL DESIGN,A,Z,AZ,22.64072847682119,2.1029791099000907,8263.865894039734,1402.0,113.0,271.0,1673.0,0.42059582198001816,455,22.9,Low,0,1058,27514.63
22188,BLACK HEART CARD HOLDER,A,Z,AZ,16.978476821192054,3.838258196721312,6197.1440397351,898.0,394.0,513.0,1411.0,0.7676516393442624,722,45.5,Medium,0,487,27324.45
22622,BOX OF VINTAGE ALPHABET BLOCKS,A,Z,AZ,4.690397350993377,10.414902723735407,1711.9950331125829,287.0,49.0,82.0,369.0,2.0829805447470817,582,34.9,Medium,0,511,27251.26
20725,LUNCH BAG RED SPOTTY,A,Z,AZ,28.90066225165563,1.6314392523364485,10548.741721854305,1798.0,113.0,315.0,2113.0,0.3262878504672897,410,39.4,Medium,328,1059,27237.6
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,Z,AZ,15.894039735099337,2.953152594887684,5801.324503311258,991.0,107.0,218.0,1209.0,0.5906305189775368,518,29.0,Low,0,1277,27222.52
22077,6 RIBBONS RUSTIC CHARM,A,Z,AZ,26.533112582781456,1.7178992805755398,9684.586092715232,1679.0,76.0,262.0,1941.0,0.343579856115108,739,19.1,Low,0,1361,27031.04
21928,JUMBO BAG SCANDINAVIAN PAISLEY,A,Z,AZ,25.427152317880793,1.914484181568088,9280.91059602649,1557.0,182.0,360.0,1917.0,0.3828968363136176,527,37.4,Medium,211,721,26847.1
22659,LUNCH BOX I LOVE LONDON,A,Z,AZ,25.09271523178808,1.925752551020408,9158.84105960265,1542.0,204.0,380.0,1922.0,0.38515051020408164,525,26.0,Low,0,763,26596.719999999998
23245,SET OF 3 REGENCY CAKE TINS,A,Z,AZ,9.675496688741722,4.932690707350902,3531.556291390729,598.0,120.0,188.0,786.0,0.9865381414701805,185,29.0,Low,0,718,26566.280000000002
23199,JUMBO BAG APPLES,A,Z,AZ,22.971854304635762,2.0620027624309394,8384.726821192053,1426.0,177.0,338.0,1764.0,0.4124005524861879,242,23.2,Low,0,718,26426.3
21977,PACK OF 60 PINK PAISLEY CAKE CASES,A,Z,AZ,90.3841059602649,0.5449906425452278,32990.19867549669,5502.0,440.0,1073.0,6575.0,0.10899812850904556,738,28.8,Low,0,1578,26407.35
22467,GUMBALL COAT RACK,A,Z,AZ,18.973509933774835,2.497053191489362,6925.3311258278145,1178.0,98.0,231.0,1409.0,0.4994106382978724,645,22.5,Low,0,928,26149.13
22492,MINI PAINT SET VINTAGE ,A,Z,AZ,68.72019867549669,0.6521359223300971,25082.87251655629,4385.0,547.0,1028.0,5413.0,0.13042718446601942,582,30.2,Medium,0,618,25900.19
72741,GRAND CHOCOLATECANDLE,A,Z,AZ,31.927152317880793,1.421912832929782,11653.41059602649,2024.0,216.0,439.0,2463.0,0.28438256658595645,738,30.8,Medium,0,823,25895.4
84991,60 TEATIME FAIRY CAKE CASES,A,Z,AZ,87.4635761589404,0.5432928847214562,31924.205298013247,5420.0,282.0,894.0,6314.0,0.10865857694429125,738,23.8,Low,0,1765,25785.92
22752,SET 7 BABUSHKA NESTING BOXES,A,Z,AZ,5.41887417218543,8.411470085470086,1977.889072847682,343.0,48.0,86.0,429.0,1.6822940170940173,488,28.5,Low,0,577,25620.99
22726,ALARM CLOCK BAKELIKE GREEN,A,Z,AZ,11.114238410596027,3.781159695817491,4056.69701986755,732.0,67.0,145.0,877.0,0.7562319391634982,442,25.2,Low,0,1041,24898.96
22386,JUMBO BAG PINK WITH WHITE SPOTS,A,Z,AZ,22.79139072847682,1.9206675938803894,8318.85761589404,1472.0,152.0,312.0,1784.0,0.38413351877607793,295,44.4,Medium,384,712,24450.6
85099B,JUMBO BAG RED WHITE SPOTTY ,A,Z,AZ,22.978476821192054,1.9092356687898089,8387.1440397351,1482.0,250.0,411.0,1893.0,0.3818471337579618,190,55.0,Medium,548,465,24323.85
23355,HOT WATER BOTTLE KEEP CALM,A,Z,AZ,8.79635761589404,4.866142270861833,3210.670529801325,574.0,76.0,138.0,712.0,0.9732284541723667,109,25.0,Low,0,719,24302.55
47566B,TEA TIME PARTY BUNTING,A,Z,AZ,9.291390728476822,4.725340393343419,3391.35761589404,599.0,96.0,161.0,760.0,0.9450680786686839,734,38.8,Medium,4,655,24255.3
22149,FELTCRAFT 6 FLOWER FRIENDS,A,Z,AZ,20.155629139072847,2.0936026380873867,7356.804635761589,1326.0,140.0,281.0,1607.0,0.41872052761747736,709,30.8,Medium,28,1189,24248.29
48138,DOOR MAT UNION FLAG,A,Z,AZ,6.180463576158941,7.056379310344828,2255.869205298013,400.0,45.0,88.0,488.0,1.4112758620689656,211,51.8,Medium,513,637,24216.23
23201,JUMBO BAG ALPHABET,A,Z,AZ,20.75,2.0582430647291945,7573.75,1356.0,148.0,293.0,1649.0,0.41164861294583893,242,22.7,Low,0,752,24160.44
22624,IVORY KITCHEN SCALES,A,Z,AZ,4.827814569536423,8.530816135084429,1762.1523178807945,321.0,18.0,52.0,373.0,1.7061632270168858,584,18.9,Low,0,1065,24137.48
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,A,Z,AZ,174.14735099337747,0.2619978284473398,63563.78311258278,11014.0,1390.0,2609.0,13623.0,0.052399565689467964,738,32.7,Medium,0,920,24098.03
20972,PINK CREAM FELT CRAFT TRINKET BOX ,A,Z,AZ,33.21854304635762,1.2567366720516961,12124.768211920531,2196.0,163.0,396.0,2592.0,0.25134733441033924,738,24.5,Low,0,1224,23812.52
37503,TEA TIME CAKE STAND IN GIFT BOX,A,Z,AZ,3.947019867549669,10.618497854077253,1440.6622516556292,260.0,48.0,76.0,336.0,2.1236995708154507,243,53.2,Medium,495,465,23784.8
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,A,Z,AZ,64.99834437086092,0.6429443447037702,23724.395695364237,4295.0,319.0,774.0,5069.0,0.12858886894075403,738,23.1,Low,0,1100,23598.510000000002
20971,PINK BLUE FELT CRAFT TRINKET BOX,A,Z,AZ,33.94039735099338,1.2539292730844793,12388.245033112584,2223.0,351.0,589.0,2812.0,0.2507858546168959,738,31.9,Medium,0,1003,23554.3
47590A,BLUE HAPPY BIRTHDAY BUNTING,A,Z,AZ,7.75,5.431876971608832,2828.75,510.0,95.0,149.0,659.0,1.0863753943217664,731,41.7,Medium,6,633,23531.47
22697,GREEN REGENCY TEACUP AND SAUCER,A,Z,AZ,14.072847682119205,2.928878306878307,5136.589403973509,936.0,57.0,156.0,1092.0,0.5857756613756614,484,18.9,Low,0,933,23507.24
22866,HAND WARMER SCOTTY DOG DESIGN,A,Z,AZ,19.316225165562916,2.0897154471544717,7050.422185430464,1299.0,97.0,232.0,1531.0,0.41794308943089437,455,21.6,Low,0,939,23436.660000000003
22197,POPCORN HOLDER,A,Z,AZ,51.19039735099338,0.8432312404287902,18684.495033112584,3329.0,691.0,1049.0,4378.0,0.16864624808575804,181,29.2,Low,0,632,23417.51
84836,ZINC METAL HEART DECORATION,A,Z,AZ,32.0,1.2495665878644602,11680.0,2162.0,132.0,356.0,2518.0,0.24991331757289204,738,22.4,Low,0,1244,23331.43
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,A,Z,AZ,20.748344370860927,1.9980487804878047,7573.145695364238,1377.0,953.0,1098.0,2475.0,0.39960975609756094,738,48.1,Medium,0,408,23322.62
22551,PLASTERS IN TIN SPACEBOY,A,Z,AZ,24.210264900662253,1.6505128205128203,8836.746688741723,1636.0,117.0,286.0,1922.0,0.3301025641025641,624,23.5,Low,0,1156,23194.95
21485,RETROSPOT HEART HOT WATER BOTTLE,A,Z,AZ,8.10430463576159,4.938075060532688,2958.07119205298,547.0,86.0,143.0,690.0,0.9876150121065376,440,29.2,Low,0,815,23085.53
22507,MEMO BOARD RETROSPOT  DESIGN,A,Z,AZ,8.62251655629139,4.923924221921516,3147.218543046358,565.0,137.0,197.0,762.0,0.9847848443843032,638,36.0,Medium,0,737,23083.44
22084,PAPER CHAIN KIT EMPIRE,A,Z,AZ,13.968543046357615,2.906381486676017,5098.518211920529,937.0,106.0,204.0,1141.0,0.5812762973352034,737,33.7,Medium,0,704,23049.95
23173,REGENCY TEAPOT ROSES ,A,Z,AZ,4.4072847682119205,9.70313725490196,1608.658940397351,288.0,155.0,186.0,474.0,1.9406274509803922,213,29.2,Low,0,354,23033.52
82583,HOT BATHS METAL SIGN,A,Z,AZ,19.531456953642383,2.0745758661887694,7128.98178807947,1311.0,147.0,284.0,1595.0,0.4149151732377539,737,32.7,Medium,0,820,23010.120000000003
71459,HANGING JAM JAR T-LIGHT HOLDER,A,Z,AZ,48.43543046357616,0.8305875152998776,17678.9321192053,3262.0,294.0,633.0,3895.0,0.16611750305997552,643,32.0,Medium,95,815,22805.99
21930,JUMBO STORAGE BAG SKULLS,A,Z,AZ,20.37251655629139,1.9759742828882294,7435.968543046358,1372.0,97.0,240.0,1612.0,0.3951948565776459,738,24.3,Low,0,997,22795.28
22158,3 HEARTS HANGING DECORATION RUSTIC,A,Z,AZ,13.21523178807947,2.9539024390243904,4823.559602649007,904.0,130.0,223.0,1127.0,0.5907804878048781,734,37.9,Medium,1,646,22471.86
22961,JAM MAKING SET PRINTED,A,Z,AZ,26.269867549668874,1.4706291390728476,9588.50165562914,1806.0,155.0,339.0,2145.0,0.29412582781456953,504,22.8,Low,0,903,22328.95
22867,HAND WARMER BIRD DESIGN,A,Z,AZ,18.211920529801326,2.1004264392324092,6647.350993377484,1258.0,90.0,217.0,1475.0,0.42008528784648186,455,20.9,Low,0,907,22168.33
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,A,Z,AZ,7.711920529801325,4.887694300518135,2814.8509933774835,537.0,334.0,388.0,925.0,0.977538860103627,185,29.2,Low,0,385,22109.079999999998
82600,NO SINGING METAL SIGN,A,Z,AZ,18.533112582781456,2.0697643442622953,6764.586092715232,1278.0,98.0,228.0,1506.0,0.4139528688524591,671,27.3,Low,67,970,22097.04
84978,HANGING HEART JAR T-LIGHT HOLDER,A,Z,AZ,31.47682119205298,1.2278837420526794,11489.039735099337,2163.0,97.0,317.0,2480.0,0.2455767484105359,734,18.1,Low,0,1087,22079.739999999998
